Vente,VenteYear,marque,annee,modele,Price
London,2015,ferrari,2004,f131b engine no. 91145,24570
London,2015,porsche,1965,911,56000
London,2015,ferrari,1966,330 gt 2+2 series ii by pininfarina,156800
London,2015,maserati,1964,mistral 3.7 spyder,526400
London,2015,porsche,2006,carrera gt,448000
London,2015,ferrari,1968,dino 206 gt,347200
London,2015,aston martin,1960,db4 series ii,330000
London,2015,ferrari,1974,365 gt4 bb by scaglietti,336000
London,2015,ferrari,2005,612 scaglietti,117600
London,2015,ferrari,1979,308 gt4,50400
London,2015,alfa romeo,1993,rz by zagato,47600
London,2015,alfa romeo,1990,sz by zagato,67200
London,2015,porsche,1989,911 speedster,173600
London,2015,porsche,1956,356 a carrera 1500 gs coupe by reutter,302400
London,2015,ferrari,1982,512 bbi,212800
London,2015,ferrari,1964,330 gt 2+2 series i by pininfarina,140000
London,2015,ferrari,2001,575 maranello  pre production,72800
London,2015,ferrari,1989,328 gts,190400
London,2015,porsche,1953,356 pre a 1500 coupe by reutter,162400
London,2015,alfa romeo,1957,giulietta sprint veloce  alleggerita  by bertone,89600
London,2015,ferrari,1964,250 gt/l berlinetta  lusso  by scaglietti,1232000
London,2015,porsche,1962,356 carrera 2 coupe by reutter,386400
London,2015,aston martin,1950,db2 vantage,302400
London,2015,ferrari,1992,f40,845600
London,2015,aston martin,1965,db5 vantage,784000
London,2015,ferrari,1958,250 gt berlinetta competizione  tour de france  by scaglietti,4760000
London,2015,ferrari,1985,testarossa,109200
