Vente,VenteYear,marque,annee,modele,Price
Toronto International Fall Classic Car Auction,2006,mercedes benz,1992,400 se,6480
Toronto International Fall Classic Car Auction,2006,ferrari,1985,replica,8316
Toronto International Fall Classic Car Auction,2006,mercedes benz,1985,380 se 4d,3672
Toronto International Fall Classic Car Auction,2006,mercedes benz,1988,190 e 4d,3510
Toronto International Fall Classic Car Auction,2006,alfa romeo,1991,169 4d,2484
Toronto International Fall Classic Car Auction,2006,mercedes benz,1985,380sl convertible,10584
Toronto International Fall Classic Car Auction,2006,mercedes benz,1995,500sl convertible,20520
Toronto International Fall Classic Car Auction,2006,porsche,1955,356,21600
