Vente,VenteYear,marque,annee,modele,Price
Toronto International Fall Classic Car Auction,2007,mercedes benz,1973,450 sl convertible,6048
Toronto International Fall Classic Car Auction,2007,ferrari,1990,348 2d,46440
Toronto International Fall Classic Car Auction,2007,mercedes benz,1992,300 ce 2d,8800
Toronto International Fall Classic Car Auction,2007,mercedes benz,1994,sl5 coupe,16470
Toronto International Fall Classic Car Auction,2007,mercedes benz,1992,400se 4d,13284
Toronto International Fall Classic Car Auction,2007,bmw,1990,850i,35640
Toronto International Fall Classic Car Auction,2007,mercedes benz,1988,560sl convertible,34020
