Vente,VenteYear,marque,annee,modele,Price
Fort Lauderdale,2019,ferrari,,pedal car by american retro,1495
Fort Lauderdale,2019,mercedes benz,1968,280 s sedan,14850
Fort Lauderdale,2019,aston martin,2009,dbs,121000
Fort Lauderdale,2019,mercedes benz,1969,280 sl  pagoda,49500
Fort Lauderdale,2019,porsche,1960,diesel junior 108 l,20900
Fort Lauderdale,2019,bmw,2000,m roadster,17600
Fort Lauderdale,2019,aston martin,2003,db ar1 zagato,225500
Fort Lauderdale,2019,ferrari,2003,360 spider,67650
Fort Lauderdale,2019,mercedes benz,1989,560 sl,39600
Fort Lauderdale,2019,mercedes benz,1965,230 sl,53900
Fort Lauderdale,2019,ferrari,2000,456m gta,48000
Fort Lauderdale,2019,porsche,2002,911 gt2,101500
Fort Lauderdale,2019,porsche,2004,911 turbo cabriolet,47850
Fort Lauderdale,2019,mercedes benz,1955,300 sl gullwing,1155000
Fort Lauderdale,2019,ferrari,2007,f430 spider,101200
Fort Lauderdale,2019,ferrari,2002,360 modena,61000
Fort Lauderdale,2019,ferrari,1990,32,63250
Fort Lauderdale,2019,mercedes benz,2011,sls amg coupe,174900
Fort Lauderdale,2019,porsche,1988,911 carrera coupe,45100
Fort Lauderdale,2019,mercedes benz,1969,280 sl  pagoda,71500
Fort Lauderdale,2019,bmw,2004,m3 coupe,37400
Fort Lauderdale,2019,ferrari,2010,california,115500
Fort Lauderdale,2019,porsche,1990,911 carrera 2 cabriolet,45650
