Vente,VenteYear,marque,annee,modele,Price
Toronto International Fall Classic Car Auction,2005,mercedes benz,1991,300 s 4d,5671
Toronto International Fall Classic Car Auction,2005,mercedes benz,1992,300 se four door,7918
Toronto International Fall Classic Car Auction,2005,porsche,1977,911 carrera cabrio convertible,12519
Toronto International Fall Classic Car Auction,2005,mercedes benz,1993,500 sel 4d,12412
Toronto International Fall Classic Car Auction,2005,mercedes benz,1974,450 scl coupe,8025
Toronto International Fall Classic Car Auction,2005,mercedes benz,1981,380 sl roadster,11770
Toronto International Fall Classic Car Auction,2005,ferrari,1985,replica convertible,8025
Toronto International Fall Classic Car Auction,2005,mercedes benz,1978,450 6.9 4d,2675
Toronto International Fall Classic Car Auction,2005,mercedes benz,1989,560 sl roadster,29318
