Vente,VenteYear,marque,annee,modele,Price
The Florida Collector Car Auction,2005,bmw,1996,740 il 4d,14231
The Florida Collector Car Auction,2005,mercedes benz,1987,560 sec coupe,9898
The Florida Collector Car Auction,2005,mercedes benz,1987,560 sl roadster,10165
The Florida Collector Car Auction,2005,aston martin,2000,volante convertible,82390
The Florida Collector Car Auction,2005,mercedes benz,1994,e320 7 passenger wagon,10700
The Florida Collector Car Auction,2005,mercedes benz,1967,grand 600 swb limousine,19260
The Florida Collector Car Auction,2005,mercedes benz,1953,220 sedan,17120
The Florida Collector Car Auction,2005,mercedes benz,1956,300 sl gullwing coupe,294250
