Vente,VenteYear,marque,annee,modele,Price
Arizona,2019,mercedes,,bends   300 sl by richard pietruska,4080
Arizona,2019,mercedes,1914,18/100 grand prix by leo bestgen 1986,1200
Arizona,2019,alfa romeo,2900,2900b   beauty in the beast by richard pietruska,1200
Arizona,2019,ferrari,2006,f430 spider,112000
Arizona,2019,porsche,1964,356 sc gt  outlaw,207200
Arizona,2019,porsche,1996,911 turbo coupe,235200
Arizona,2019,mercedes benz,2011,sls amg,190400
Arizona,2019,bmw,2003,alpina roadster v8,246400
Arizona,2019,ferrari,1989,208 gts turbo,100800
Arizona,2019,ferrari,1973,365 gtb/4 daytona berlinetta by scaglietti,577000
Arizona,2019,ferrari,1983,512 bbi,252000
Arizona,2019,porsche,1957,356 a 1600 speedster by reutter,245000
Arizona,2019,ferrari,1967,330 gts by pininfarina,2012500
Arizona,2019,ferrari,2017,f12tdf,1006000
Arizona,2019,mercedes benz,1959,190 sl,106400
Arizona,2019,ferrari,1985,288 gto,3360000
Arizona,2019,porsche,1992,911 carrera rs,252000
Arizona,2019,porsche,1973,911 carrera rs 2.7 touring,467000
Arizona,2019,porsche,1997,911 turbo s,324000
Arizona,2019,ferrari,1971,365 gtb/4 daytona nart spider by michelotti,670500
Arizona,2019,ferrari,1968,330 gtc by pininfarina,687000
Arizona,2019,ferrari,1969,365 gt 2+2 by pininfarina,215000
Arizona,2019,porsche,2016,911 carrera gts rennsport reunion edition,201600
Arizona,2019,ferrari,2008,599 gtb,235200
Arizona,2019,mercedes benz,1960,190 sl,123200
Arizona,2019,porsche,1965,911,114800
Arizona,2019,porsche,1960,diesel junior 109,29120
Arizona,2019,ferrari,,250 california spider junior,11400
Arizona,2019,porsche,1986,911 carrera targa  outlaw,44800
Arizona,2019,porsche,1969,911 e coupe,89600
Arizona,2019,porsche,1974,911  outlaw,92400
Arizona,2019,porsche,1973,911 s coupe,156800
Arizona,2019,porsche,1987,911 turbo coupe,67200
Arizona,2019,porsche,1969,911 t coupe by karmann,81200
Arizona,2019,porsche,1987,911 turbo coupe,81200
Arizona,2019,porsche,1970,911 e coupe,89600
Arizona,2019,porsche,2010,911 sport classic,654000
Arizona,2019,porsche,2011,911 speedster,423000
Arizona,2019,mercedes benz,2006,slr mclaren,268800
Arizona,2019,mercedes benz,1967,250 sl  pagoda,145600
Arizona,2019,porsche,2018,911 turbo s exclusive series,445000
Arizona,2019,bmw,1958,507 roadster series ii,2175000
Arizona,2019,mercedes benz,1970,280 sl  pagoda  custom,196000
Arizona,2019,porsche,1973,911 s targa,112000
Arizona,2019,porsche,1958,356 a speedster by reutter,313000
Arizona,2019,ferrari,1995,f512 m,357000
Arizona,2019,ferrari,1973,dino 246 gt  chairs & flares  by scaglietti,500000
Arizona,2019,ferrari,2005,superamerica,343250
Arizona,2019,porsche,2018,911 gt2 rs  weissach,461500
Arizona,2019,ferrari,2008,f430 gtc,350000
Arizona,2019,ferrari,1996,f355 spider,78400
