Vente,VenteYear,marque,annee,modele,Price
Michigan Spring International Classic Car Auction,2004,mercedes benz,1996,s 600,17120
Michigan Spring International Classic Car Auction,2004,mercedes benz,1970,280 se coupe,3745
Michigan Spring International Classic Car Auction,2004,mercedes benz,1999,slk 320 roadster,23540
Michigan Spring International Classic Car Auction,2004,mercedes benz,1984,380 sl roadster,15783
Michigan Spring International Classic Car Auction,2004,porsche,1987,928 s4,9363
Michigan Spring International Classic Car Auction,2004,alfa romeo,1973,spyder convertible,3210
Michigan Spring International Classic Car Auction,2004,mercedes benz,1997,s 500 coupe,22845
Michigan Spring International Classic Car Auction,2004,bmw,1996,328 i.s.,5350
Michigan Spring International Classic Car Auction,2004,mercedes benz,1996,500sl roadster,22470
