Vente,VenteYear,marque,annee,modele,Price
Auburn Spring,2015,ferrari,,and miscellaneous items,115
Auburn Spring,2015,mercedes benz,1957,w25,575
Auburn Spring,2015,mercedes benz,1937,540k 1951 ford victoria coupe 1961 ferrari 250…,288
Auburn Spring,2015,ferrari,1964,"f93a firestone ashtray  1964 chevrolet corvette ""grandsport"" sebring",173
Auburn Spring,2015,mercedes benz,1939,w165,374
Auburn Spring,2015,mercedes benz,1964,sskl with case,288
Auburn Spring,2015,porsche,1966,917/30 1966 donohue lola spyder chaparral 2e and sticker mclaren m8a and sticker,201
Auburn Spring,2015,mercedes benz,1974,450sl,7975
