puissance maximale,modele,marque,annee,carrosserie,portes,sieges,cylindree,transmission,moteur,production,position du moteur,classe,annees de production
670,488 Challenge, Ferrari,,"Roadster 2 portes, 2 places",,,902,Propulsion,"V8 biturbo 32V à injection directe, à 90°",,Longitudinale centrale arrière,Voiture de sport,2015
118 à 260 ch,125 F1, Ferrari,,Coupé barchettaMonoplace de course,,,1497,,V12 Colombo,,Avant,Voiture de course,1947
,275 F1,Ferrari,,,,,,,,,,,
,375 F1,Ferrari,,,,,,,,,,,
,500 F2,Ferrari,,,,,,,,,,,
,375 FL,Ferrari,,,,,,,,,,,
,375 Indy,Ferrari,,,,,,,,,,,
,553 F2,Ferrari,,,,,,,,,,,
,553 F1 Squalo,Ferrari,,,,,,,,,,,
,625 F1,Ferrari,,,,,,,,,,,
,A53 S Squalo,Ferrari,,,,,,,,,,,
,555 Supersualo,Ferrari,,,,,,,,,,,
,553,Ferrari,,,,,,,,,,,
,V8 Supersqualo,Ferrari,,,,,,,,,,,
,D50,Ferrari,,,,,,,,,,,
,Bardahl Indy,Ferrari,,,,,,,,,,,
,801,Ferrari,,,,,,,,,,,
,Dino 246 F1,Ferrari,,,,,,,,,,,
,256 F1,Ferrari,,,,,,,,,,,
,246P-F1,Ferrari,,,,,,,,,,,
,156P-F2,Ferrari,,,,,,,,,,,
,Dino 156-F1,Ferrari,,,,,,,,,,,
,156 F1 / 63,Ferrari,,,,,,,,,,,
,158 F1,Ferrari,,,,,,,,,,,
,512 F1,Ferrari,,,,,,,,,,,
,240 Tasman,Ferrari,,,,,,,,,,,
,312 F1,Ferrari,,,,,,,,,,,
,312 B,Ferrari,,,,,,,,,,,
,312 B2,Ferrari,,,,,,,,,,,
,312 B3,Ferrari,,,,,,,,,,,
,312 B3-74,Ferrari,,,,,,,,,,,
,312 T,Ferrari,,,,,,,,,,,
,312 T2,Ferrari,,,,,,,,,,,
,312 T3,Ferrari,,,,,,,,,,,
,312 T4,Ferrari,,,,,,,,,,,
,312 T5,Ferrari,,,,,,,,,,,
,126 CK,Ferrari,,,,,,,,,,,
,126 C2,Ferrari,,,,,,,,,,,
,126 C2 B,Ferrari,,,,,,,,,,,
,126 C3,Ferrari,,,,,,,,,,,
,126 C4,Ferrari,,,,,,,,,,,
,156-85,Ferrari,,,,,,,,,,,
,F1-86,Ferrari,,,,,,,,,,,
,F1-87,Ferrari,,,,,,,,,,,
,F1-87/88C,Ferrari,,,,,,,,,,,
,640,Ferrari,,,,,,,,,,,
,641,Ferrari,,,,,,,,,,,
,642,Ferrari,,,,,,,,,,,
,643,Ferrari,,,,,,,,,,,
,F92 A,Ferrari,,,,,,,,,,,
,F93 A,Ferrari,,,,,,,,,,,
,412 T1,Ferrari,,,,,,,,,,,
,412 T2,Ferrari,,,,,,,,,,,
,F310,Ferrari,,,,,,,,,,,
,F310B,Ferrari,,,,,,,,,,,
,F300,Ferrari,,,,,,,,,,,
,F399,Ferrari,,,,,,,,,,,
,F1-2000,Ferrari,,,,,,,,,,,
,F2001,Ferrari,,,,,,,,,,,
,F2002,Ferrari,,,,,,,,,,,
,F2003-GA,Ferrari,,,,,,,,,,,
,F2004,Ferrari,,,,,,,,,,,
,F2005,Ferrari,,,,,,,,,,,
,248 F1,Ferrari,,,,,,,,,,,
,F2007,Ferrari,,,,,,,,,,,
,F2008,Ferrari,,,,,,,,,,,
,F60,Ferrari,,,,,,,,,,,
,F10,Ferrari,,,,,,,,,,,
,150° Italia,Ferrari,,,,,,,,,,,
,F2012,Ferrari,,,,,,,,,,,
,F138,Ferrari,,,,,,,,,,,
,F14 T,Ferrari,,,,,,,,,,,
,SF15-T,Ferrari,,,,,,,,,,,
,SF16-H,Ferrari,,,,,,,,,,,
,SF70H,Ferrari,,,,,,,,,,,
,SF71H,Ferrari,,,,,,,,,,,
,SF90,Ferrari,,,,,,,,,,,
,SF1000,Ferrari,,,,,,,,,,,
,Salon Dino Berlinetta Speciale,Ferrari,,,,,,,,,,,
,365 P Special, Ferrari,,,,,390,Propulsion,V12 4.4,,Longitudinale avant,,1968
,250 P5 Berlinetta Speciale,Ferrari,,,,,,,,,,,
,250 P6,Ferrari,,,,,,,,,,,
557 ch,Modulo, Ferrari,,GT futuriste,,,4994,Propulsion,V12 de Ferrari 512 S,1 exemplaire(s),Longitudinale centrale arrière,Concept car,1970
,Rainbow,Ferrari,,,,,,,,,,,
360 ch,Pinin, Ferrari,,Limousine 4-portes,,,942,,Flat-12 de 5 L,1 exemplaire(s),Centrale avant,Concept car,1980
,408 4RM,Ferrari,,,,,,,,,,,
390 ch,Mythos,Ferrari,,Barquette,,,4942,Propulsion,Flat-12,3 exemplaire(s),,Concept-car,1989
,F 100,Ferrari,,,,,,,,,,,
485 ch,Rossa, Ferrari,,,,,5474,,V12 de Ferrari 550 Maranello,,Longitudinale avant,Concept car,2000
,460 GT,Ferrari,,,,,,,,,,,
,456 Venice,Ferrari,,,,,,,,,,,
,Aurea,Ferrari,,,,,,,,,,,
660 ch  (485 kW),P4/5, Ferrari,,Coupé 2 portes,,,5998,Propulsion,V12 à 65°,1 exemplaire(s),Longitudinale centrale arrière,Voiture de sport,2006
,Dino,Ferrari,,,,,,,,,,,
,599 HY-KERS,Ferrari,,,,,,,,,,,
1200 ch,F80 Concept, Ferrari,,,,,,,V8 bi-turbo hybride KERS,,Centrale,Projet de concept car / voiture de sport,
,Manifesto,Ferrari,,,,,,,,,,,
,330 GT 2+2 Drogo Coupe,Ferrari,,,,,,,,,,,
,365 GT Speciale, Ferrari,,,,,390,Propulsion,V12 4.4,,Longitudinale avant,,1968
,Testarossa Spyder,Ferrari,,,,,,,,,,,
,288 GTO Evoluzione,Ferrari,,,,,,,,,,,
390 ch,Testarossa F90 Speciale,Ferrari,,,,,4942,,Flat-12,6 exemplaire(s),,,1988
442,456 Venice, Ferrari,,Coupé 2 portes,,,474,Propulsion,"V12, 48 soupapes",289,Longitudinale avant,Sportive de prestige,1992
,Conciso,Ferrari,,,,,,,,,,,
390 ch,FX, Ferrari,,,,,4942,Propulsion,Flat-12,7 exemplaire(s),,,1995
,Modena Koenig,Ferrari,,,,,,,,,,,
380,355 Challenge Twin Training, Ferrari,,Coupé 2 portes,,,496,Propulsion,"V8 à 90° ; 3,5 litres ; 40 S",273,Longitudinale centrale arrière,Sportive de prestige,1994
540,Superamerica F1, Ferrari,,Coupé-cabriolet,,,748,Propulsion Boîte manuelle ou robotisée 6-rapports,Essence V12 à 65°,559,,Sportive,2004
800,FXX, Ferrari,,Coupé,,,262,Propulsion,V12 à 65°2 x 2 ACT48 soupapes (4 par cylindre),30 exemplaire(s),Centrale longitudinale,Voiture de sport (circuit),2005
800,FXX Evoluzione, Ferrari,,Coupé,,,262,Propulsion,V12 à 65°2 x 2 ACT48 soupapes (4 par cylindre),30 exemplaire(s),Centrale longitudinale,Voiture de sport (circuit),2005
515,575 GTZ, Ferrari,,Coupé 2 portes,,,5748,Propulsion,"V12 à 60°, 48 soupapes",2548,Longitudinal avant,Voiture de sport Grand Tourisme,2002
520,F50 GT,Ferrari,,Roadster,,,4698,PropulsionBoîte à 6 rapports,"V12 DOHC 4,7 L ; 60 soupapes[2]",349,,Supercar,1995
760 à 780 ch  (567 à 582 kW),F40 Competizionne, Ferrari,,Coupé 2-portes,,,936,Propulsion,V8 à 90° Biturbo,315,Longitudinale centrale arrière,Voiture de course,1989
1 050 ch,FXX K, Ferrari,,Coupé 2-portes,,,262,Propulsion,V12 + Hy-Kers + Hybride,32[1] exemplaire(s),Centrale arrière,Voiture de sport,2014
1 050 ch,FXX K Evo, Ferrari,,Coupé 2-portes,,,262,Propulsion,V12 + Hy-Kers + Hybride,32[1] exemplaire(s),Centrale arrière,Voiture de sport,2014
