Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
2300000,01/1960,,241,250,ferrari,1960,argent,cuirnoir,argent,,grigioargento,,cuirnoir,cabriolet,2,2,2.953cm³,boîtemanuelle
1200000,05/1961,999999,241,250,ferrari,1961,gris,,gris,,,,,,,,,
1800000,01/1961,,241,250,ferrari,1961,rouge,cuirbleu,rouge,uni,rosso,,cuirbleu,cabriolet,,,,boîtemanuelle
180000,01/1964,37111,299,330,ferrari,1964,vert,cuirnoir,vert,metallise,verde,,cuirnoir,citadine,,,3.967cm³,boîtemanuelle
239000,11/1964,43970,300,330,ferrari,1964,bleu,cuirnoir,bleu,,,belgique,cuirnoir,coupe,2,4,3.999cm³,boîtemanuelle
250000,01/1964,74600,300,330,ferrari,1964,argent,cuirnoir,argent,metallise,argento,italie,cuirnoir,coupe,2,4,3.967cm³,boîtemanuelle
349900,01/1964,16300,300,330,ferrari,1964,gris,cuirnoir,gris,metallise,grigionotte,,cuirnoir,coupe,,,3.967cm³,boîtemanuelle
2100000,04/1964,,250,250,ferrari,1964,bleu,cuirbeige,bleu,metallise,,italie,cuirbeige,coupe,2,4,2.953cm³,boîtemanuelle
249900,01/1965,32588,300,330,ferrari,1965,or,cuirnoir,or,,orochiaro,,cuirnoir,berline,2,4,,boîtemanuelle
269900,04/1965,149494,300,330,ferrari,1965,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,4,3.967cm³,boîtemanuelle
295000,01/1965,50276,,330,ferrari,1965,blanc,,blanc,,,,,coupe,,,,boîtemanuelle
295000,01/1965,50276,,330,ferrari,1965,blanc,,blanc,,,,,coupe,,,,boîtemanuelle
