Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
43000,12/2014,75800,450,rs4,audi,2014,blanc,autresautres,blanc,,,,autresautres,break,5,5,4.163cm³,boîteautomatique
45990,02/2015,78885,450,rs4,audi,2015,noir,cuirnoir,noir,metallise,noir,,cuirnoir,break,5,5,4.163cm³,boîteautomatique
46900,03/2014,65300,450,rs4,audi,2014,blanc,,blanc,uni,biancopastello,,,break,5,5,4.163cm³,boîteautomatique
58975,03/2018,56250,450,rs4,audi,2018,gris,alcantaranoir,gris,metallise,daytonagrauperleffekt,,alcantaranoir,break,4,5,2.894cm³,boîteautomatique
62475,06/2018,59600,450,rs4,audi,2018,gris,autresnoir,gris,,nardograu,,autresnoir,break,4,5,2.894cm³,boîteautomatique
62490,07/2018,13600,450,rs4,audi,2018,rouge,cuirnoir,rouge,metallise,misanorotperleffekt,,cuirnoir,break,5,5,2.984cm³,boîteautomatique
70900,02/2018,36000,450,rs4,audi,2018,vert,cuirnoir,vert,,,,cuirnoir,break,5,5,2.894cm³,boîteautomatique
71900,12/2017,18679,450,rs4,audi,2017,bleu,cuir,bleu,metallise,blu,,cuir,break,5,5,2.894cm³,boîteautomatique
71900,07/2018,26478,450,rs4,audi,2018,blanc,cuir,blanc,,bianco,,cuir,break,5,5,3.000cm³,boîteautomatique
71950,07/2018,26000,450,rs4,audi,2018,gris,cuirnoir,gris,metallise,daytonagrijspareleffect,belgique,cuirnoir,break,5,5,2.894cm³,boîteautomatique
71975,05/2019,8100,450,rs4,audi,2019,noir,cuirnoir,noir,metallise,mythosschwarzmetallic,,cuirnoir,break,5,5,2.894cm³,boîteautomatique
73980,03/2018,39500,450,rs4,audi,2018,gris,cuirnoir,gris,metallise,daytonagrauperleffekt,allemagne,cuirnoir,break,5,5,2.894cm³,boîteautomatique
74900,02/2018,37730,450,rs4,audi,2018,gris,,gris,,grigionardo,,,break,5,5,2.894cm³,boîteautomatique
75450,08/2019,4500,450,rs4,audi,2019,gris,alcantaranoir,gris,,nardograu,allemagne,alcantaranoir,break,5,5,2.894cm³,boîteautomatique
75990,03/2018,19613,450,rs4,audi,2018,noir,,noir,metallise,black,belgique,,break,5,5,2.894cm³,boîteautomatique
76900,04/2018,15000,450,rs4,audi,2018,gris,,gris,,gris,,,break,5,5,2.894cm³,boîteautomatique
77900,06/2018,7900,450,rs4,audi,2018,rouge,alcantaragris,rouge,,rossomisano,,alcantaragris,break,5,5,2.894cm³,boîteautomatique
78000,12/2017,24800,450,rs4,audi,2017,gris,autresautres,gris,,,,autresautres,break,5,5,2.894cm³,boîteautomatique
79990,07/2019,6850,450,rs4,audi,2019,gris,cuirnoir,gris,,nardograu,allemagne,cuirnoir,break,5,5,2.894cm³,boîteautomatique
82400,04/2018,29810,450,rs4,audi,2018,noir,,noir,,neromito,,,break,,,,boîteautomatique
82900,07/2018,25888,450,rs4,audi,2018,bleu,cuirnoir,bleu,uni,azzurro,,cuirnoir,break,5,5,2.894cm³,boîteautomatique
84900,03/2018,30500,450,rs4,audi,2018,argent,autresautres,argent,metallise,,,autresautres,break,5,5,2.894cm³,boîteautomatique
84980,04/2018,19800,450,rs4,audi,2018,gris,cuirpartielgris,gris,,daytonagrauperleffekt,allemagne,cuirpartielgris,break,4,5,2.894cm³,boîteautomatique
85000,04/2018,28000,450,rs4,audi,2018,blanc,,blanc,,,,,break,5,5,2.894cm³,boîteautomatique
