Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
109990,07/1987,59000,390,testarossa,ferrari,1987,rouge,cuirnoir,rouge,,,belgique,cuirnoir,coupe,2,2,4.943cm³,boîtemanuelle
110000,04/1987,40122,269,328,ferrari,1987,rouge,cuirbeige,rouge,,,,cuirbeige,coupe,2,2,3.185cm³,boîtemanuelle
110000,07/1987,57000,271,328,ferrari,1987,rouge,,rouge,,,,,berline,,,,
116000,07/1987,60000,390,testarossa,ferrari,1987,blanc,cuirbleu,blanc,,,,cuirbleu,coupe,2,,,
118000,04/1987,38500,390,testarossa,ferrari,1987,rouge,,rouge,,,italie,,coupe,2,2,4.942cm³,boîtemanuelle
118000,04/1987,29800,390,testarossa,ferrari,1987,rouge,,rouge,,,italie,,coupe,2,2,4.942cm³,boîtemanuelle
125000,01/1987,65000,390,testarossa,ferrari,1987,blanc,,blanc,,,,,,,,,
125000,05/1987,25000,390,testarossa,ferrari,1987,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,,,boîtemanuelle
132100,01/1987,19330,,testarossa,ferrari,1987,noir,,noir,,noir,,,coupe,,,,boîtemanuelle
135000,04/1987,54000,390,testarossa,ferrari,1987,rouge,cuirrouge,rouge,uni,rosso,,cuirrouge,coupe,2,2,4.942cm³,boîtemanuelle
139500,12/1987,81314,271,328,ferrari,1987,rouge,cuirbeige,rouge,,rosso-corsa322,autriche,cuirbeige,cabriolet,2,2,3.185cm³,boîtemanuelle
180000,11/1987,34228,390,testarossa,ferrari,1987,jaune,cuirnoir,jaune,,,,cuirnoir,coupe,2,2,5.000cm³,boîtemanuelle
75000,11/1988,35000,254,208,ferrari,1988,rouge,cuirbeige,rouge,,,italie,cuirbeige,cabriolet,3,2,1.991cm³,boîtemanuelle
75000,02/1988,78529,254,208,ferrari,1988,rouge,cuirnoir,rouge,,,,cuirnoir,,2,2,1.990cm³,boîtemanuelle
78000,06/1988,65000,271,328,ferrari,1988,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,2,,
78900,07/1988,45000,254,208,ferrari,1988,rouge,cuir,rouge,,,,cuir,coupe,,,,
79000,07/1988,48500,254,208,ferrari,1988,rouge,cuirblanc,rouge,metallise,,,cuirblanc,cabriolet,2,2,,boîtemanuelle
79000,01/1988,21000,252,208,ferrari,1988,gris,,gris,,,,,,,,,
79000,10/1988,46590,254,208,ferrari,1988,rouge,,rouge,,,,,,,,,
79000,06/1988,74851,254,208,ferrari,1988,rouge,cuirpartielbeige,rouge,,rossocorsa,italie,cuirpartielbeige,cabriolet,2,2,1.990cm³,boîtemanuelle
79900,08/1988,87188,269,328,ferrari,1988,noir,cuirnoir,noir,metallise,,,cuirnoir,coupe,2,2,3.186cm³,boîtemanuelle
80000,01/1988,62500,253,208,ferrari,1988,rouge,,rouge,,,,,,,,,
80000,05/1988,78000,269,328,ferrari,1988,rouge,,rouge,,,,,coupe,2,2,3.185cm³,boîtemanuelle
82000,04/1988,27900,271,328,ferrari,1988,rouge,cuirnoir,rouge,,,autriche,cuirnoir,autres,2,2,3.186cm³,boîtemanuelle
84000,06/1988,63500,340,412,ferrari,1988,argent,cuirnoir,argent,metallise,,,cuirnoir,coupe,2,4,4.943cm³,boîtemanuelle
84950,01/1988,43577,271,328,ferrari,1988,rouge,cuirbeige,rouge,,,,cuirbeige,cabriolet,2,2,3.186cm³,boîtemanuelle
85000,10/1988,55000,271,328,ferrari,1988,rouge,,rouge,,,,,,,,,
86990,02/1988,53000,271,328,ferrari,1988,jaune,,jaune,,jaune,,,autres,2,2,,boîtemanuelle
89000,01/1988,43484,271,328,ferrari,1988,noir,cuirnoir,noir,,nero,,cuirnoir,coupe,2,2,3.164cm³,boîtemanuelle
89000,04/1988,78000,390,testarossa,ferrari,1988,jaune,,jaune,,,,,,,,,
89900,03/1988,22527,256,328,ferrari,1988,rouge,cuirnoir,rouge,,,suisse,cuirnoir,cabriolet,2,,3.184cm³,boîtemanuelle
89900,02/1988,14800,268,308,ferrari,1988,rouge,cuirnoir,rouge,,rosso,,cuirnoir,coupe,2,2,1.990cm³,boîtemanuelle
90000,03/1988,40800,271,328,ferrari,1988,rouge,cuirnoir,rouge,,,,cuirnoir,cabriolet,2,2,3.186cm³,boîtemanuelle
90000,03/1988,41000,379,testarossa,ferrari,1988,rouge,cuirnoir,rouge,metallise,,france,cuirnoir,coupe,2,2,4.943cm³,boîtemanuelle
90000,08/1988,44500,269,328,ferrari,1988,rouge,cuirnoir,rouge,,,espagne,cuirnoir,coupe,2,2,3.185cm³,boîtemanuelle
91000,04/1988,46000,254,208,ferrari,1988,rouge,cuirnoir,rouge,,rossocorsa,italie,cuirnoir,cabriolet,2,2,1.991cm³,boîtemanuelle
91500,01/1988,84138,,412,ferrari,1988,argent,cuirbeige,argent,,zilver,,cuirbeige,coupe,2,,,boîtemanuelle
92000,01/1988,88000,269,328,ferrari,1988,gris,,gris,uni,antracite,,,cabriolet,2,2,3.185cm³,boîtemanuelle
95000,06/1988,62931,269,328,ferrari,1988,rouge,,rouge,uni,rosso,,,cabriolet,2,2,3.185cm³,boîtemanuelle
95000,11/1988,30000,254,,ferrari,1988,noir,noir,noir,,,italie,noir,cabriolet,,,,
95328,10/1988,28000,271,328,ferrari,1988,rouge,cuirnoir,rouge,,,allemagne,cuirnoir,cabriolet,2,2,3.185cm³,boîtemanuelle
96500,02/1988,39200,390,testarossa,ferrari,1988,rouge,beige,rouge,metallise,rood,,beige,coupe,2,2,4.943cm³,boîtemanuelle
98000,08/1988,84000,269,328,ferrari,1988,rouge,cuirnoir,rouge,,rossocorsa,,cuirnoir,cabriolet,2,2,3.186cm³,boîtemanuelle
99000,04/1988,58000,269,328,ferrari,1988,rouge,cuirnoir,rouge,,,,cuirnoir,cabriolet,2,2,3.186cm³,boîtemanuelle
99000,06/1988,1000,650,,ferrari,1988,bleu,alcantara,bleu,,,italie,alcantara,autres,,,3.000cm³,semi-automatique
99990,01/1988,53000,340,412,ferrari,1988,argent,cuirnoir,argent,metallise,,,cuirnoir,berline,2,5,4.942cm³,boîteautomatique
99990,07/1988,14600,269,328,ferrari,1988,rouge,cuirnoir,rouge,,,,cuirnoir,cabriolet,2,2,3.186cm³,boîtemanuelle
100000,02/1988,36000,368,328,ferrari,1988,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,2,,boîtemanuelle
