Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
120000,01/1960,64000,,356,porsche,1960,rouge,autresnoir,rouge,,,france,autresnoir,cabriolet,2,2,,boîtemanuelle
97356,04/1960,11000,,356,porsche,1960,,cuirbeige,,,creme,,cuirbeige,coupe,2,4,1.600cm³,boîtemanuelle
10000,12/1960,100000,170,911,porsche,1960,bleu,,bleu,,,,,coupe,2,4,2.200cm³,boîtemanuelle
15000,01/1960,,,,porsche,1960,rouge,,rouge,,,italie,,autres,,,,
15800,01/1960,,,,porsche,1960,rouge,,rouge,,,italie,,autres,,,,boîtemanuelle
85000,01/1960,1100,,356,porsche,1960,gris,,gris,,,,,coupe,,,,
88900,01/1960,77120,,356,porsche,1960,argent,noir,argent,metallise,,etats-unis,noir,coupe,2,4,,boîtemanuelle
105000,01/1960,21283,,356,porsche,1960,argent,cuirnoir,argent,metallise,,,cuirnoir,cabriolet,2,,1.582cm³,boîtemanuelle
118700,09/1960,107729,,356,porsche,1960,bleu,noir,bleu,,,,noir,autres,,,,boîtemanuelle
129950,07/1960,23534,,356,porsche,1960,argent,cuirnoir,argent,metallise,,allemagne,cuirnoir,coupe,2,2,1.571cm³,
135000,06/1960,70623,102,356,porsche,1960,gris,cuirrouge,gris,,,allemagne,cuirrouge,cabriolet,2,2,1.571cm³,boîtemanuelle
139000,02/1960,99999,,356,porsche,1960,blanc,,blanc,,elfenbein,,,cabriolet,,,1.600cm³,boîtemanuelle
139500,01/1960,4342,,356,porsche,1960,bleu,cuirgris,bleu,,blauw,,cuirgris,cabriolet,2,,,boîtemanuelle
145000,01/1960,141490,,356,porsche,1960,rouge,cuirnoir,rouge,,rood,,cuirnoir,autres,,,,boîtemanuelle
146800,01/1960,107104,,356,porsche,1960,,,,,autre,,,coupe,,,,boîtemanuelle
199000,07/1960,,,356,porsche,1960,gris,cuirautres,gris,,grau,,cuirautres,cabriolet,2,,1.571cm³,boîtemanuelle
215000,01/1960,82506,,356,porsche,1960,,,,,autre,,,coupe,,,,boîtemanuelle
225000,04/1960,3500,,356,porsche,1960,noir,cuirbrun,noir,,,etats-unis,cuirbrun,cabriolet,2,2,1.600cm³,boîtemanuelle
