Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
20000,07/1986,243207,150,944,porsche,1986,gris,,gris,,,,,coupe,2,,2.479cm³,boîtemanuelle
21000,06/1986,180000,220,944,porsche,1986,orange,,orange,,,,,coupe,2,4,2.449cm³,boîtemanuelle
22000,06/1986,100000,190,944,porsche,1986,gris,,gris,metallise,,,,coupe,,,,
22500,03/1986,171500,150,924,porsche,1986,blanc,,blanc,,,,,coupe,2,4,2.449cm³,boîtemanuelle
23998,07/1986,56800,220,944,porsche,1986,gris,cuirnoir,gris,metallise,,,cuirnoir,coupe,2,4,2.449cm³,boîtemanuelle
24000,03/1986,105000,220,944,porsche,1986,blanc,,blanc,,,,,coupe,2,4,2.449cm³,boîtemanuelle
24000,10/1986,100000,249,944,porsche,1986,rouge,,rouge,,,,,coupe,2,4,2.479cm³,boîtemanuelle
24950,09/1986,122000,220,944,porsche,1986,rouge,cuirpartielbeige,rouge,,indischrot,,cuirpartielbeige,coupe,2,,2.449cm³,boîtemanuelle
25500,10/1986,172000,220,944,porsche,1986,beige,,beige,,,,,coupe,2,4,2.449cm³,boîtemanuelle
25900,03/1986,119500,288,928,porsche,1986,noir,cuirautres,noir,,schwarz,,cuirautres,coupe,,,4.957cm³,boîteautomatique
27000,04/1986,64439,310,928,porsche,1986,noir,,noir,,,,,coupe,2,4,4.608cm³,boîtemanuelle
27500,02/1986,120000,220,944,porsche,1986,noir,,noir,,,,,,,,,
28750,09/1986,71050,165,944,porsche,1986,rouge,tissu,rouge,,indischrood,suede,tissu,coupe,2,2,2.479cm³,boîtemanuelle
28900,11/1986,175000,310,928,porsche,1986,noir,,noir,,,,,coupe,2,4,4.608cm³,boîtemanuelle
29944,05/1986,140771,220,944,porsche,1986,rouge,cuirbeige,rouge,,,allemagne,cuirbeige,coupe,2,4,2.449cm³,boîtemanuelle
29980,07/1986,130000,288,928,porsche,1986,blanc,,blanc,,,,,coupe,2,4,4.898cm³,boîteautomatique
29999,12/1986,149000,320,928,porsche,1986,gris,,gris,metallise,,,,coupe,,,5.000cm³,boîteautomatique
