Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
64950,07/1972,100436,290,indy,maserati,1972,bleu,cuir,bleu,,blauw,pays-bas,cuir,berline,2,,4.700cm³,boîtemanuelle
70900,07/1972,37002,268,indy,maserati,1972,brun,cuirblanc,brun,metallise,,etats-unis,cuirblanc,coupe,2,4,4.910cm³,boîteautomatique
89900,06/1972,65000,262,indy,maserati,1972,rouge,cuirbeige,rouge,uni,rosso,italie,cuirbeige,coupe,2,4,4.200cm³,boîtemanuelle
90000,01/1972,9660,290,indy,maserati,1972,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,4,4.700cm³,boîtemanuelle
92500,01/1972,33532,,indy,maserati,1972,jaune,cuirnoir,jaune,,geel,,cuirnoir,coupe,2,,,boîtemanuelle
149950,01/1972,65040,,,maserati,1972,,,,,,,,coupe,,,,boîtemanuelle
186000,07/1972,69524,334,ghibli,maserati,1972,bleu,cuirnoir,bleu,,blu,,cuirnoir,coupe,2,2,4.930cm³,boîtemanuelle
295700,01/1972,6160,334,ghibli,maserati,1972,rouge,cuirnoir,rouge,,indischrot,italie,cuirnoir,coupe,2,,4.900cm³,boîtemanuelle
115000,07/1973,92950,320,indy,maserati,1973,gris,cuirbeige,gris,metallise,grau,italie,cuirbeige,coupe,2,4,4.930cm³,boîtemanuelle
36666,06/1973,120000,190,merak,maserati,1973,rouge,tissu,rouge,metallise,rot,,tissu,coupe,2,2,,boîtemanuelle
53900,07/1973,89000,290,indy,maserati,1973,argent,noir,argent,metallise,silber,,noir,coupe,,,4.740cm³,boîtemanuelle
59500,01/1973,,190,merak,maserati,1973,noir,beige,noir,,zwart,pays-bas,beige,coupe,2,,2.970cm³,boîtemanuelle
65000,02/1973,72960,178,merak,maserati,1973,rouge,,rouge,metallise,,italie,,coupe,2,4,2.970cm³,boîtemanuelle
65000,06/1973,74400,178,merak,maserati,1973,blanc,tissubleu,blanc,,,italie,tissubleu,coupe,2,4,2.970cm³,boîtemanuelle
69900,06/1973,83000,200,merak,maserati,1973,argent,cuirnoir,argent,metallise,,,cuirnoir,coupe,2,2,2.983cm³,boîtemanuelle
120000,10/1973,86000,320,indy,maserati,1973,jaune,noir,jaune,,,,noir,coupe,,,4.900cm³,boîtemanuelle
230000,06/1973,34992,256,,maserati,1973,argent,,argent,,,,,coupe,,,,
275000,01/1973,75056,334,ghibli,maserati,1973,rouge,cuirbeige,rouge,,,belgique,cuirbeige,cabriolet,2,2,4.960cm³,boîtemanuelle
77500,07/1974,18000,190,merak,maserati,1974,rouge,cuirnoir,rouge,,,italie,cuirnoir,coupe,2,2,2.965cm³,boîtemanuelle
89900,02/1974,73000,320,indy,maserati,1974,brun,cuirbeige,brun,metallise,marronecolorado,,cuirbeige,coupe,2,4,,boîtemanuelle
33900,01/1974,92000,190,merak,maserati,1974,orange,tissunoir,orange,,,belgique,tissunoir,coupe,2,4,3.000cm³,boîtemanuelle
59900,07/1974,156000,190,merak,maserati,1974,orange,cuirnoir,orange,,,,cuirnoir,coupe,2,,2.965cm³,boîtemanuelle
67500,02/1974,46469,190,merak,maserati,1974,jaune,cuirnoir,jaune,,,pays-bas,cuirnoir,coupe,2,4,2.970cm³,boîtemanuelle
75000,09/1975,9000,190,merak,maserati,1975,rouge,tissubeige,rouge,,,france,tissubeige,coupe,2,2,2.965cm³,boîtemanuelle
42500,01/1975,45118,,merak,maserati,1975,orange,cuirnoir,orange,,oranje,,cuirnoir,coupe,2,,,boîtemanuelle
48950,06/1975,48178,190,merak,maserati,1975,rouge,,rouge,,,,,coupe,,,,boîtemanuelle
67000,01/1975,93285,224,merak,maserati,1975,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,4,2.970cm³,boîtemanuelle
69000,03/1975,62000,190,merak,maserati,1975,rouge,cuirnoir,rouge,,,italie,cuirnoir,coupe,3,4,2.970cm³,boîtemanuelle
72000,07/1975,39000,190,merak,maserati,1975,bleu,cuirgris,bleu,metallise,,,cuirgris,coupe,,,,boîtemanuelle
78000,07/1975,59380,190,merak,maserati,1975,jaune,cuirnoir,jaune,,giallofly,etats-unis,cuirnoir,coupe,2,,2.965cm³,boîtemanuelle
78500,10/1975,17957,178,merak,maserati,1975,jaune,cuirnoir,jaune,,,italie,cuirnoir,coupe,2,,2.970cm³,
310000,04/1975,39800,355,,maserati,1975,bleu,cuirbeige,bleu,metallise,,italie,cuirbeige,coupe,2,4,4.900cm³,boîtemanuelle
80000,06/1976,85000,220,merak,maserati,1976,bleu,cuirbleu,bleu,metallise,blu/pelleblutotale,italie,cuirbleu,coupe,2,4,2.987cm³,boîtemanuelle
82500,01/1976,93518,,merak,maserati,1976,orange,veloursgris,orange,,oranje,,veloursgris,coupe,2,,,boîtemanuelle
100000,03/1976,85000,208,merak,maserati,1976,rouge,noir,rouge,,,,noir,coupe,4,4,2.970cm³,boîtemanuelle
39900,01/1978,10000,120,3200,maserati,1978,rouge,,rouge,,,espagne,,autres,,,,
89000,03/1978,56000,220,merak,maserati,1978,bleu,cuirbeige,bleu,metallise,azzurrochiaro,italie,cuirbeige,coupe,2,4,3.000cm³,boîtemanuelle
385000,01/1979,,256,,maserati,1979,vert,beige,vert,,,belgique,beige,coupe,,,,boîtemanuelle
77500,06/1979,40000,160,merak,maserati,1979,argent,alcantara,argent,metallise,,italie,alcantara,coupe,,,,boîtemanuelle
87000,01/1979,39000,243,merak,maserati,1979,rouge,cuirnoir,rouge,,,,cuirnoir,coupe,2,4,3.000cm³,boîtemanuelle
50000,05/1980,65000,170,merak,maserati,1980,vert,,vert,metallise,,,,coupe,,,,
64000,03/1980,39000,170,merak,maserati,1980,bleu,tissubleu,bleu,metallise,,,tissubleu,coupe,2,4,1.970cm³,boîtemanuelle
