Price,Immat,KM,Power,modele,marque,annee,couleurexterieure,interieur,couleurexterieure,typedepeinture,couleuroriginale,versionpays,interieur,carrosserie,portes,sieges,cylindree,transmission
15990,02/2011,118523,305,135,bmw,2011,gris,cuirbeige,gris,metallise,,,cuirbeige,cabriolet,,,2.979cm³,boîteautomatique
15990,09/2008,168500,306,135,bmw,2008,gris,cuirpartielnoir,gris,metallise,sparklinggraphite,,cuirpartielnoir,coupe,2,4,2.979cm³,boîtemanuelle
15999,05/2011,127000,306,135,bmw,2011,noir,tissunoir,noir,metallise,blacksapphiremetallic,allemagne,tissunoir,cabriolet,2,4,2.979cm³,boîteautomatique
15999,03/2013,203145,320,135,bmw,2013,orange,cuirnoir,orange,metallise,valenciaorangemetallic,allemagne,cuirnoir,berline,4,5,2.979cm³,boîteautomatique
16499,07/2012,119000,306,135,bmw,2012,noir,,noir,metallise,,,,coupe,2,4,2.979cm³,boîteautomatique
16500,05/2011,113000,306,135,bmw,2011,blanc,,blanc,,,,,coupe,2,4,2.979cm³,boîteautomatique
16500,05/2008,119000,306,135,bmw,2008,argent,cuirbeige,argent,metallise,,,cuirbeige,cabriolet,2,4,2.979cm³,boîteautomatique
16750,02/2010,125000,306,135,bmw,2010,noir,cuirnoir,noir,,schwarz2,,cuirnoir,coupe,2,4,2.979cm³,boîteautomatique
16750,09/2008,100000,306,135,bmw,2008,noir,cuirnoir,noir,,,,cuirnoir,coupe,2,4,2.979cm³,boîteautomatique
16850,06/2008,97000,306,135,bmw,2008,noir,cuirnoir,noir,metallise,blacksapphiremetallic,,cuirnoir,cabriolet,2,4,2.979cm³,boîtemanuelle
16900,12/2012,104000,320,135,bmw,2012,gris,cuirnoir,gris,metallise,mineralgraumetallic,allemagne,cuirnoir,berline,4,5,2.979cm³,boîtemanuelle
16900,04/2010,138974,306,135,bmw,2010,blanc,,blanc,,,,,cabriolet,2,4,2.979cm³,boîtemanuelle
16900,07/2010,155000,355,135,bmw,2010,argent,,argent,,,,,berline,5,5,2.993cm³,boîteautomatique
16900,01/2009,130000,306,135,bmw,2009,blanc,,blanc,,blanco,,,coupe,2,4,2.979cm³,boîteautomatique
16950,02/2008,143350,305,135,bmw,2008,gris,,gris,,,,,cabriolet,2,4,2.979cm³,
16950,02/2008,151738,306,135,bmw,2008,rouge,cuir,rouge,metallise,rood,pays-bas,cuir,coupe,2,4,2.979cm³,boîtemanuelle
16980,06/2008,103000,400,135,bmw,2008,noir,cuirbrun,noir,metallise,blacksapphiremetallic,allemagne,cuirbrun,cabriolet,2,4,2.979cm³,boîteautomatique
18490,09/2013,99890,320,135,bmw,2013,blanc,alcantaranoir,blanc,,alpinweiss3,allemagne,alcantaranoir,berline,2,5,2.979cm³,boîtemanuelle
18499,01/2014,130000,320,135,bmw,2014,bleu,alcantara,bleu,metallise,,,alcantara,berline,3,4,2.979cm³,boîteautomatique
18499,10/2010,41850,306,135,bmw,2010,noir,cuirnoir,noir,,,,cuirnoir,cabriolet,2,4,2.979cm³,boîteautomatique
18500,09/2012,99900,320,135,bmw,2012,orange,,orange,,,,,coupe,2,4,2.979cm³,boîtemanuelle
18500,07/2011,96000,306,135,bmw,2011,noir,noir,noir,,,,noir,cabriolet,2,4,2.979cm³,boîteautomatique
18500,03/2013,104654,320,135,bmw,2013,bleu,,bleu,,,,,berline,5,5,2.979cm³,boîtemanuelle
18500,07/2011,86700,382,135,bmw,2011,noir,,noir,metallise,,,,cabriolet,2,4,2.979cm³,boîteautomatique
18590,04/2009,71700,306,135,bmw,2009,noir,cuirnoir,noir,metallise,blacksapphire,,cuirnoir,cabriolet,2,4,2.979cm³,boîteautomatique
18800,04/2013,105012,320,135,bmw,2013,noir,alcantaragris,noir,metallise,,,alcantaragris,berline,5,5,2.979cm³,boîteautomatique
18900,06/2008,143000,306,135,bmw,2008,orange,,orange,,,,,cabriolet,2,4,2.979cm³,boîteautomatique
18900,07/2013,107650,320,135,bmw,2013,bleu,,bleu,metallise,,,,berline,3,4,2.979cm³,boîtemanuelle
18999,04/2013,164500,320,135,bmw,2013,noir,cuirnoir,noir,metallise,blacksapphiremetallic,allemagne,cuirnoir,coupe,2,5,2.979cm³,boîteautomatique
19000,05/2008,150000,306,135,bmw,2008,gris,,gris,,,,,coupe,2,4,2.979cm³,boîtemanuelle
19000,03/2008,128000,306,135,bmw,2008,bleu,,bleu,metallise,,,,cabriolet,,,,
19300,05/2013,119034,320,135,bmw,2013,blanc,alcantaranoir,blanc,,alpinweiss3,allemagne,alcantaranoir,coupe,2,5,2.979cm³,boîteautomatique
19500,04/2008,104178,306,135,bmw,2008,argent,cuirnoir,argent,metallise,titansilbermetallic,allemagne,cuirnoir,cabriolet,2,4,2.979cm³,boîtemanuelle
19500,02/2013,128051,320,135,bmw,2013,bleu,alcantaragris,bleu,metallise,,,alcantaragris,berline,3,4,2.979cm³,boîtemanuelle
19500,03/2014,117183,320,135,bmw,2014,noir,alcantaranoir,noir,metallise,blacksapphiremetallic,,alcantaranoir,berline,4,5,2.979cm³,boîtemanuelle
19500,02/2014,114435,320,135,bmw,2014,blanc,,blanc,,,,,berline,3,4,2.979cm³,boîteautomatique
19500,03/2013,138675,320,135,bmw,2013,gris,,gris,,,,,berline,5,5,2.979cm³,boîteautomatique
19500,06/2013,121000,320,135,bmw,2013,blanc,cuirbeige,blanc,,,,cuirbeige,berline,5,5,2.979cm³,boîteautomatique
19500,07/2008,141217,306,135,bmw,2008,gris,,gris,,,,,coupe,2,4,2.979cm³,boîteautomatique
19750,07/2010,96500,306,135,bmw,2010,rouge,cuirpartielnoir,rouge,metallise,,,cuirpartielnoir,coupe,2,4,2.979cm³,boîtemanuelle
19750,02/2009,166156,306,135,bmw,2009,bleu,cuirnoir,bleu,metallise,blauw,,cuirnoir,coupe,2,4,2.979cm³,boîtemanuelle
19800,05/2009,187000,306,135,bmw,2009,blanc,,blanc,,,,,coupe,2,4,2.979cm³,boîtemanuelle
19850,03/2013,94975,320,135,bmw,2013,blanc,alcantaranoir,blanc,,alpinweiss3,allemagne,alcantaranoir,berline,4,5,2.979cm³,boîtemanuelle
